,Rooms,Type,Method,Distance,Bathroom,Car,Landsize,BuildingArea,RegionName,PropertyCount,Price,Age
0,2,h,SS,2.5,1,1,126,,Northern Metropolitan,4019,,
1,2,h,S,2.5,1,1,202,,Northern Metropolitan,4019,1480000,
2,2,h,S,2.5,1,0,156,79,Northern Metropolitan,4019,1035000,119
3,3,u,VB,2.5,2,1,0,,Northern Metropolitan,4019,,
4,3,h,SP,2.5,2,0,134,150,Northern Metropolitan,4019,1465000,119
5,3,h,PI,2.5,2,1,94,,Northern Metropolitan,4019,850000,
6,4,h,VB,2.5,1,2,120,142,Northern Metropolitan,4019,1600000,5
7,4,h,SN,2.5,2,2,400,220,Northern Metropolitan,4019,,13
8,2,h,S,2.5,1,2,201,,Northern Metropolitan,4019,,119
9,2,h,S,2.5,2,1,202,,Northern Metropolitan,4019,,119
10,2,h,S,2.5,1,0,181,,Northern Metropolitan,4019,941000,
11,3,h,S,2.5,2,0,245,210,Northern Metropolitan,4019,1876000,109
12,2,u,PI,2.5,2,1,4292,82,Northern Metropolitan,4019,,10
13,4,h,W,2.5,2,0,230,147,Northern Metropolitan,4019,,159
14,2,h,S,2.5,1,2,256,107,Northern Metropolitan,4019,1636000,129
15,3,h,S,2.5,,,,,Northern Metropolitan,4019,1000000,
16,2,t,S,2.5,,,,,Northern Metropolitan,4019,745000,
17,1,u,S,2.5,1,1,0,,Northern Metropolitan,4019,300000,
18,2,h,S,2.5,1,2,220,75,Northern Metropolitan,4019,1097000,119
19,2,u,S,2.5,,,,,Northern Metropolitan,4019,542000,
20,2,h,SP,2.5,1,1,176,80,Northern Metropolitan,4019,,94
21,2,u,SP,2.5,,,,,Northern Metropolitan,4019,760000,
22,1,u,SP,2.5,,,,,Northern Metropolitan,4019,481000,
23,2,u,VB,2.5,2,1,0,,Northern Metropolitan,4019,700000,
24,3,h,VB,2.5,2,2,214,190,Northern Metropolitan,4019,1350000,14
25,2,u,S,2.5,2,1,0,94,Northern Metropolitan,4019,750000,10
26,4,h,S,2.5,,,,,Northern Metropolitan,4019,1985000,
27,1,u,S,2.5,,,,,Northern Metropolitan,4019,500000,
28,2,h,S,2.5,1,1,195,,Northern Metropolitan,4019,1172500,
29,1,u,SP,2.5,1,1,0,,Northern Metropolitan,4019,441000,
30,2,h,S,2.5,1,2,238,97,Northern Metropolitan,4019,1310000,129
31,3,u,PI,2.5,2,2,0,129,Northern Metropolitan,4019,,9
32,3,h,S,2.5,2,1,113,110,Northern Metropolitan,4019,1200000,139
33,2,t,S,2.5,,,,,Northern Metropolitan,4019,847000,
34,2,h,PI,2.5,,,,,Northern Metropolitan,4019,,
35,3,h,S,2.5,1,1,138,105,Northern Metropolitan,4019,1176500,129
36,3,h,S,2.5,1,0,183,,Northern Metropolitan,4019,955000,
37,2,h,S,2.5,1,1,150,73,Northern Metropolitan,4019,890000,34
38,4,h,PI,2.5,2,2,780,135,Northern Metropolitan,4019,1330000,119
39,3,h,SP,2.5,2,1,119,167,Northern Metropolitan,4019,,14
40,3,t,S,2.5,2,2,0,,Northern Metropolitan,4019,900000,9
41,3,u,S,2.5,2,2,4290,27,Northern Metropolitan,4019,1090000,
42,2,u,S,2.5,1,1,0,60,Northern Metropolitan,4019,500000,49
43,2,h,PI,2.5,2,1,124,135,Northern Metropolitan,4019,1100000,6
44,2,h,S,2.5,1,0,147,85,Northern Metropolitan,4019,1315000,119
45,1,u,S,2.5,,,,,Northern Metropolitan,4019,480000,
46,1,u,S,2.5,,,,,Northern Metropolitan,4019,423500,
47,4,h,PI,2.5,,,,,Northern Metropolitan,4019,,
48,1,u,SP,2.5,1,1,0,,Northern Metropolitan,4019,426000,
49,3,h,PI,2.5,3,1,166,174,Northern Metropolitan,4019,1447500,7
50,1,u,S,2.5,1,1,0,50,Northern Metropolitan,4019,457000,
51,2,h,S,2.5,2,2,98,128,Northern Metropolitan,4019,1135000,99
52,2,h,S,2.5,,,,,Northern Metropolitan,4019,700000,
53,4,h,S,2.5,3,1,0,,Northern Metropolitan,4019,1542000,
54,3,t,SP,2.5,,,,,Northern Metropolitan,4019,962000,
55,3,h,S,2.5,2,2,147,18,Northern Metropolitan,4019,1290000,
56,3,h,S,2.5,1,1,168,124,Northern Metropolitan,4019,1290000,69
57,1,u,S,2.5,1,1,0,50,Northern Metropolitan,4019,470000,6
58,2,h,S,2.5,1,0,162,91,Northern Metropolitan,4019,1180000,119
59,3,h,SP,2.5,2,1,120,128,Northern Metropolitan,4019,1195000,21
60,2,u,PI,2.5,,,,,Northern Metropolitan,4019,,
61,2,h,S,2.5,1,0,182,82,Northern Metropolitan,4019,1012500,119
62,2,u,SP,2.5,,,,,Northern Metropolitan,4019,970000,
63,2,h,S,2.5,1,1,172,81,Northern Metropolitan,4019,1030000,89
64,4,h,W,2.5,,,,,Northern Metropolitan,4019,,
65,3,h,S,2.5,,,,,Northern Metropolitan,4019,927000,
66,3,t,PI,13.5,2,1,303,225,Western Metropolitan,3464,840000,3
67,3,h,VB,13.5,2,1,0,145,Western Metropolitan,3464,730000,54
68,3,h,SP,13.5,2,1,0,145,Western Metropolitan,3464,770000,54
